year,date,day_of_the_week,bank_holiday,country,complete_date,day_of_the_year,today,date_has_passed,closest_bh_date
2023,02-Jan,Monday,New Year’s Day (substitute day),England & Wales,2023-01-02,2,2023-01-30,TRUE,2023-04-07
2023,07-Apr,Friday,Good Friday,England & Wales,2023-04-07,97,2023-01-30,FALSE,2023-04-07
2023,10-Apr,Monday,Easter Monday,England & Wales,2023-04-10,100,2023-01-30,FALSE,2023-04-07
2023,01-May,Monday,Early May bank holiday,England & Wales,2023-05-01,121,2023-01-30,FALSE,2023-04-07
2023,08-May,Monday,Bank holiday for the coronation of King Charles III,England & Wales,2023-05-08,128,2023-01-30,FALSE,2023-04-07
2023,29-May,Monday,Spring bank holiday,England & Wales,2023-05-29,149,2023-01-30,FALSE,2023-04-07
2023,28-Aug,Monday,Summer bank holiday,England & Wales,2023-08-28,240,2023-01-30,FALSE,2023-04-07
2023,25-Dec,Monday,Christmas Day,England & Wales,2023-12-25,359,2023-01-30,FALSE,2023-04-07
2023,26-Dec,Tuesday,Boxing Day,England & Wales,2023-12-26,360,2023-01-30,FALSE,2023-04-07
2024,01-Jan,Monday,New Year’s Day,England & Wales,2024-01-01,1,2023-01-30,FALSE,2023-04-07
2024,29-Mar,Friday,Good Friday,England & Wales,2024-03-29,89,2023-01-30,FALSE,2023-04-07
2024,01-Apr,Monday,Easter Monday,England & Wales,2024-04-01,92,2023-01-30,FALSE,2023-04-07
2024,06-May,Monday,Early May bank holiday,England & Wales,2024-05-06,127,2023-01-30,FALSE,2023-04-07
2024,27-May,Monday,Spring bank holiday,England & Wales,2024-05-27,148,2023-01-30,FALSE,2023-04-07
2024,26-Aug,Monday,Summer bank holiday,England & Wales,2024-08-26,239,2023-01-30,FALSE,2023-04-07
2024,25-Dec,Wednesday,Christmas Day,England & Wales,2024-12-25,360,2023-01-30,FALSE,2023-04-07
2024,26-Dec,Thursday,Boxing Day,England & Wales,2024-12-26,361,2023-01-30,FALSE,2023-04-07
